FName ,Lname,Age ,Email,Enr.No.,university
Sophia,Smith,18,sophis@calcoastuniv.edu,CCU452,California Coast University
Isabella,Williams,25,isabells23@aum.edu,M135,Montgomery
William,Johnson,19,willjohnson33@alaska.adu,UA0856,University of Alaska
Jacob,Miller,25,jacobmiller21@aamu.adu,60987,Alabama A&M University
Lane,Davis,21,lane2223@auburn.adu,AU8976,Auburn University
Alexia,Johnson,16,alejohnson12@npcc.adu,6789NP,National Park Community College
Sierra,Jones,24,sierra223@maricopa.adu,MC98543,Maricopa Community Colleges
Erik,Anderson,21,eric2522@gcu.adu,GCU776,Grand Canyon University
Alexander,Moore,23,alexmoore4143@pima.adu,90076,Pima Community College
Daniel,Martine,22,danmartin6663@nau.adu,NA77800,Northern Arizona University
Emma,Thomas,22,emma2476@ati.adu,ATI0098,ATI College
Logan,Smith,22,logansmith22@avc.adu,90432,Antelope Valley College
Aubrey,Taylor,23,aubrey3434@calarts.adu,9089,California Institute of the Arts
Lily,Jackson,24,lilyjack5631@uat.adu,UAT789,University of Advancing Technology
James,Thompson,16,jams5638@calpoly.adu,CPSU789,California Polytechnic State University
Joseph,White,17,josephwhite@calstate.adu,98054,California State University
Gabriel,Miller,17,gabrialmiller3443@canadacollage.adu,CC23006,Canada College
Grace,Lee,17,graselee222@aum.adu,M564,Montgomery
Chad,Herris,18,chadharris@avc.adu,98233,Antelope Valley College
Elsa,Lewis,21,elsalewis@calarts.adu,4560,California Institute of the Arts
Gloria,Tylor,18,gloriatylor6663@pima.adu,87009,Pima Community College
Layne,Smith,16,layne5252@nau.adu,NAU780,Northern Arizona University
Marc,Martine,24,marcmartine3454@ati.adu,ATI0908,ATI College
Laney,Clark,25,laneclark2236@gcu.adu,GCU656,Grand Canyon University
Blair,Robinson,22,blair45@calstate.adu,49008,California State University
Davon,Lee,23,davonlee4143@calpoly.adu,CPSU892,California Polytechnic State University
Cristiano,Long,16,crislong@calarts.adu,4908,California Institute of the Arts
Hugh,Foster,19,hugh@canadacollage.adu,CC43280,Canada College
Howard,Myers,18,howerd3434@calmu.adu,CMU4561,California Miramar University
Elvis,Morales,24,elvism5631@gcu.adu,GCU780,Grand Canyon University
Malaya,Miller,23,malaya@cccco.adu,980234,California Community Colleges Chanellor’s Office
River,Russel,21,riverruss4143@uat.adu,87623,University of Advancing Technology
Mark ,Ross,16,markross23223@canadacollage.adu,CC78450,Canada College
Elsa ,Jones,19,elsajones4142@cca.adu,CCA675,California College of the Arts
Hugh,Price,24,hughprice4789@calstate.adu,67042,California State University
Todd,Tylor,16,toddtylor@calpoly.adu,CPSU765,California Polytechnic State University
Makhi,Lee,18,makhilee@cmc.adu,8907,Claremont McKenna College
Adyson,Jones,19,jones@pima.adu,56071,Pima Community College
Yoselin,Thomas,23,yoselin5637@calmu.adu,CMU4327,California Miramar University
Chace,Ross,24,chaceross@cgu.adu,89754,Claremont Graduate University
Quintin,Myers,21,quintin@cgu.adu,80786,Claremont Graduate University
Toby,Robinson,23,tobyrob1234@cca.adu,CCA543,California College of the Arts
Kaya,Long,21,kayalong@cccco.adu,785123,California Community Colleges Chanellor’s Office
Kaitlynn,Jones,22,kaitjones@calmu.adu,CMU7412,California Miramar University
Reyna,Ross,19,reyana@cmc.adu,6709,Claremont McKenna College
Alia,Powell,21,aliapowell3456@cgu.adu,45022,Claremont Graduate University
Draven,Robinson,23,dravenr4143@calpoly.adu,CPSU280,California Polytechnic State University
Odin,Myers,25,odinmyers@uat.adu,UAT781,University of Advancing Technology
Leyla,Foster,16,leylafoster@cgu.adu,4091,Claremont McKenna College
Maxx,Thomas,25,maxx8998@ati.adu,ATI5001,ATI College
Eliseo,Ross,19,elisonross3445@cca.adu,CCA534,California College of the Arts
Riya,Miller,18,riya1212@pima.adu,65789,Pima Community College
